"DISTR.1" "BLACK" "NBHISP" "GRADE" "SLFHLTH" "SLFWGHT" "WORKHARD" "GOODQUAL" "PHYSFIT" "PROUD" "LIKESLF" "ACCEPTED" "FEELLOVD" "DIET" "DISTR.2"
"1" 0.47 0 0 10 4 4 2 2 2 2 5 2 2 1 0.4
"2" 0.05 0 0 8 2 3 1 1 2 1 1 2 1 1 0.09
"3" 0.63 0 0 8 2 3 2 2 2 2 3 2 2 0 0.69
"4" 0.16 1 0 9 1 4 2 1 2 1 2 2 1 1 0.08
"5" 1.79 1 0 9 4 4 1 2 2 2 3 3 2 0 1.41
"6" 0.32 0 0 10 1 3 1 1 2 1 4 1 1 0 0.52
"7" 1.11 0 0 10 2 3 1 1 2 1 2 2 2 0 1.32
"8" 0.32 0 0 9 3 4 2 1 3 2 2 3 3 0 0.29
"9" 0.26 0 0 10 1 4 2 2 2 2 1 3 2 0 0.43
"10" 0.89 1 0 10 2 2 2 2 1 1 1 1 1 0 1.76
"11" 0.42 0 0 7 2 4 3 2 3 1 2 2 1 1 0.32
"12" 0.16 0 0 8 1 2 2 1 1 1 1 1 2 0 0.35
"13" 0.42 0 0 11 4 4 2 2 3 1 3 4 2 1 0.47
"14" 0.21 0 0 8 3 3 1 1 2 1 2 2 1 0 0.42
"15" 1.42 0 0 9 4 3 2 3 3 3 5 4 3 0 1.85
"16" 1.16 0 0 9 3 2 3 2 2 1 1 2 1 0 1.2
"17" 0.37 1 0 11 2 2 2 2 2 2 2 2 2 0 0.45
"18" 0.68 0 0 9 2 4 3 2 2 2 4 3 2 1 0.57
"19" 0.89 0 0 8 3 5 3 2 2 2 2 2 2 0 0.21
"20" 0.47 0 0 11 2 4 1 2 3 3 1 4 3 1 0.84
"21" 0.11 1 0 9 1 3 2 1 1 1 1 1 1 0 0.1
"22" 0.79 0 0 9 2 2 3 2 2 1 2 2 2 0 1.07
"23" 1.11 0 0 10 3 2 1 2 2 2 2 2 2 1 0.31
"24" 0.68 0 1 11 3 3 1 2 2 2 2 3 2 0 0.78
"25" 0.53 0 0 8 1 4 2 2 2 3 4 3 3 0 0.56
"26" 0.58 0 0 11 3 5 2 2 3 2 3 4 3 1 0.91
"27" 1.11 0 0 11 3 3 4 2 3 1 1 4 2 0 1.72
"28" 0.63 0 0 11 2 2 2 2 2 2 2 2 2 0 0.39
"29" 0.74 0 0 7 3 2 2 4 3 4 4 4 3 0 1.46
"30" 1.16 1 0 9 2 5 1 1 3 2 2 1 2 1 1.04
"31" 0.68 1 0 9 2 2 3 2 3 2 4 1 1 0 0.75
"32" 1 0 0 11 2 4 2 2 2 2 4 3 2 1 0.39
"33" 0.74 0 1 7 1 1 2 1 1 1 1 1 1 0 0.02
"34" 0.37 0 1 10 2 3 1 2 2 1 1 2 1 0 0.32
"35" 0.26 1 0 11 4 3 1 2 2 1 1 2 1 0 0.43
"36" 0.89 0 0 8 2 4 1 2 1 2 2 3 2 0 1.28
"37" 0.37 0 1 11 2 2 2 2 2 2 1 2 3 0 0.4
"38" 0.37 0 0 10 1 3 2 2 2 2 2 2 1 0 0.13
"39" 0.53 0 0 11 2 3 2 1 2 1 2 2 2 0 0.13
"40" 0.21 0 0 9 3 3 2 1 1 2 1 3 1 0 0.13
"41" 0.37 0 0 9 2 3 2 2 2 1 2 1 1 0 0.22
"42" 0.16 0 0 7 2 3 2 2 2 2 1 1 1 0 0.19
"43" 1.68 0 0 9 3 4 4 3 3 2 3 4 3 1 0.76
"44" 2.05 0 0 7 3 3 4 2 2 2 3 2 2 1 0.89
"45" 0.32 0 0 11 2 3 2 4 2 3 3 4 3 0 0.52
"46" 0.95 0 0 9 1 2 2 2 2 2 2 1 2 0 0.84
"47" 0.95 1 0 8 2 3 4 2 2 1 1 2 1 0 0.58
"48" 0.47 0 0 7 3 3 3 2 3 2 2 2 1 0 0.34
"49" 0.16 0 0 10 2 1 2 2 2 1 2 2 2 0 0.33
"50" 0.32 0 0 10 1 3 4 2 2 2 2 2 1 0 0.93
"51" 0.84 0 1 8 3 4 3 1 1 1 1 1 1 1 0.9
"52" 0.74 0 0 11 1 3 3 2 2 2 2 1 1 0 0.57
"53" 0.89 0 0 11 3 5 3 1 4 1 2 2 2 0 0.93
"54" 0.71 0 0 8 1 3 2 2 2 2 3 2 1 0 0.92
"55" 0.16 0 1 11 2 3 2 1 1 1 1 1 1 0 0.31
"56" 0.21 0 0 9 2 3 2 2 2 2 1 1 1 0 0.16
"57" 0.53 0 0 8 1 2 4 3 2 2 2 1 1 0 0.17
"58" 1 0 0 9 1 4 2 2 2 1 2 1 2 0 0.39
"59" 1 0 0 7 2 4 1 1 1 1 2 1 1 0 1.69
"60" 0.11 0 0 10 1 2 3 1 1 1 1 1 1 0 0.05
"61" 0.37 0 0 8 2 3 1 2 3 2 1 1 1 0 0.22
"62" 0.21 0 0 11 2 3 1 2 4 3 2 2 2 0 0.45
"63" 0.37 0 0 11 1 3 2 1 2 1 1 1 1 0 0.05
"64" 0.63 0 0 11 3 3 2 2 1 2 2 2 2 1 0.73
"65" 1.21 0 0 10 3 3 2 2 2 2 3 2 3 0 1.82
"66" 0.63 0 0 9 2 5 2 1 3 1 3 1 1 1 0.6
"67" 1.32 1 0 9 1 3 2 1 2 1 2 1 1 0 0.94
"68" 1.63 0 0 9 2 3 3 2 2 1 2 2 1 1 1.02
"69" 0.37 0 0 9 2 3 1 1 1 2 1 2 2 0 0.88
"70" 0.74 0 1 10 2 3 2 2 1 2 1 1 1 0 0.61
"71" 0.26 0 0 11 3 3 3 2 2 2 1 2 3 0 0.24
"72" 0.26 1 0 11 2 3 2 1 2 1 1 1 2 0 0.32
"73" 0.47 1 0 11 3 3 3 1 2 1 1 1 1 0 0.08
"74" 0.68 0 0 9 3 3 2 2 3 2 2 3 1 0 0.4
"75" 0.21 0 1 8 1 3 2 2 2 2 3 3 2 0 0.46
"76" 1.32 1 0 9 2 4 2 2 2 2 2 3 1 0 0.92
"77" 1.21 0 0 10 3 4 4 2 4 2 2 2 2 1 0.67
"78" 0.63 0 0 11 1 4 2 2 3 2 3 4 3 1 0.02
"79" 0.58 0 1 11 3 1 1 2 2 2 3 2 2 0 0.59
"80" 0.53 0 0 11 1 3 2 1 1 1 1 2 2 0 0.9
"81" 0.63 0 0 7 4 5 2 3 5 4 5 4 4 1 1.51
"82" 0.53 0 1 8 1 2 3 2 2 3 2 2 2 0 0.61
"83" 0.89 0 1 10 3 4 2 1 2 2 2 2 2 0 1.35
"84" 0.68 0 0 11 2 3 2 2 2 2 2 2 1 0 0.55
"85" 0.63 0 0 11 2 3 4 2 3 2 4 2 2 0 0.44
"86" 0.32 0 0 7 2 1 3 1 4 1 1 2 2 1 0.41
"87" 0.37 0 0 7 3 4 3 2 3 2 1 4 2 0 0.4
"88" 0 0 1 11 1 3 2 1 2 1 2 1 1 0 0.03
"89" 1 0 0 10 2 4 2 2 3 2 3 3 2 0 0.04
"90" 1.05 0 0 10 1 3 1 1 2 1 2 2 1 1 1.09
"91" 1.26 0 1 11 1 3 2 1 1 1 1 1 1 0 0.63
"92" 0.58 0 1 7 2 5 2 1 2 1 1 2 2 0 0.48
"93" 0.79 0 0 7 2 5 3 1 2 1 2 2 1 0 0.96
"94" 0 0 0 7 1 2 2 1 1 1 1 1 1 0 0.01
"95" 0.16 0 1 9 1 3 1 1 2 1 1 1 1 0 0.16
"96" 0.26 0 0 8 1 3 3 2 1 2 1 2 2 0 0.08
"97" 0.63 0 0 7 2 3 3 1 2 1 2 1 1 0 0.21
"98" 0.53 0 0 10 2 4 1 2 4 2 3 2 1 1 0.61
"99" 0.05 0 0 7 2 5 1 1 1 1 1 1 1 1 0.08
"100" 0.26 0 0 9 3 5 1 2 4 2 3 2 1 1 0.01
"101" 1.47 0 0 7 1 3 1 1 1 1 1 1 1 0 0.91
"102" 1.26 0 0 10 2 4 2 3 2 5 4 5 3 0 2.36
"103" 1.68 0 1 10 1 2 4 3 2 2 2 2 1 0 1.08
"104" 1.95 0 0 10 2 3 2 3 2 2 3 3 2 0 0.03
"105" 0.74 0 0 10 2 3 1 2 1 2 2 1 2 0 1.37
"106" 0.42 1 0 11 2 3 2 1 1 2 2 2 1 0 0.37
"107" 1.16 0 1 9 2 4 1 2 1 2 2 2 2 0 0.87
"108" 0.79 1 0 11 2 3 4 1 1 1 2 1 1 0 0.74
"109" 0.47 0 0 8 3 3 2 2 2 1 3 2 1 0 0.58
"110" 0.53 0 0 11 5 4 1 2 4 2 2 2 1 0 0.69
"111" 0.11 0 0 9 2 3 2 2 2 2 2 3 2 0 0.18
"112" 0.42 1 0 10 3 4 2 1 3 2 1 1 1 0 0.67
"113" 1.53 0 0 8 4 2 4 3 3 2 2 2 1 0 0.88
"114" 0.74 0 1 11 2 3 2 3 2 3 4 2 3 0 0.57
"115" 1.58 1 0 8 3 3 2 2 3 2 2 3 4 0 0.68
"116" 0.21 0 0 7 1 3 2 1 2 2 2 3 2 0 0.19
"117" 0.26 1 0 10 4 4 2 2 3 2 2 2 1 0 0.68
"118" 0.42 1 0 11 2 2 2 2 2 1 1 2 2 0 0.77
"119" 0.53 0 1 11 2 3 1 2 2 1 3 1 2 0 0.08
"120" 0.68 0 0 9 2 4 4 2 2 2 2 2 2 0 0.26
"121" 0.58 0 0 10 2 2 3 3 3 4 4 4 4 0 0.86
"122" 0.37 1 0 8 2 3 2 1 1 1 1 1 1 0 0.49
"123" 0.58 0 0 10 1 5 1 2 3 2 3 2 2 1 1.59
"124" 0.16 0 0 9 2 3 2 1 2 1 2 1 2 0 0.38
"125" 0.21 0 0 10 1 4 2 1 2 1 2 1 1 0 0.26
"126" 0.84 0 0 10 4 5 1 2 3 1 3 2 1 1 0.66
"127" 0.53 0 1 9 4 4 4 2 2 2 2 2 2 0 0.55
"128" 0.68 1 0 10 3 3 3 2 2 2 3 3 3 0 1.63
"129" 0.32 1 0 8 1 3 2 2 2 1 1 1 1 0 0.48
"130" 0.74 0 1 9 2 4 1 1 2 1 3 2 1 0 1.71
"131" 1 0 0 9 3 3 4 2 4 3 2 3 2 0 1.08
"132" 0.68 0 0 11 2 3 2 2 1 2 2 1 2 0 0.85
"133" 0.95 0 0 10 1 4 3 2 2 2 2 2 1 0 1.24
"134" 0.16 0 0 8 1 2 2 2 2 1 1 2 1 0 0.14
"135" 0.68 0 0 8 4 4 2 2 1 3 3 3 2 0 0.97
"136" 0.42 0 1 10 3 4 1 2 4 1 3 2 2 0 0.19
"137" 0.47 0 0 9 2 2 3 2 1 2 2 1 1 0 0.18
"138" 0.21 0 1 11 2 3 2 3 3 3 3 2 2 0 0.04
"139" 0.21 0 0 11 1 3 2 1 1 1 2 2 1 1 0.42
"140" 1.16 1 0 10 1 4 2 2 2 2 2 2 2 0 1.3
"141" 0.89 1 0 10 4 4 1 2 4 2 2 3 2 0 0.18
"142" 0.89 1 0 10 2 4 5 2 3 1 2 2 2 1 1.49
"143" 2.37 0 0 11 2 4 2 2 4 2 3 4 3 0 1.68
"144" 0.58 0 1 11 2 3 3 1 2 2 1 1 2 0 1.73
"145" 0.16 0 0 9 1 5 2 3 4 4 5 5 4 0 1.54
"146" 0.68 0 0 11 2 4 2 2 4 2 4 3 2 1 0.84
"147" 0.37 0 0 7 3 4 1 2 2 1 1 2 1 0 0.43
"148" 0.37 0 0 9 3 5 2 3 4 3 3 4 3 1 0.19
"149" 0.68 1 0 11 3 3 1 1 2 1 2 2 1 0 0.46
"150" 1.32 0 0 9 2 3 2 2 2 1 3 2 2 0 0.67
"151" 0.42 1 0 11 3 3 1 1 1 1 1 1 1 0 0.5
"152" 1.89 0 0 7 1 4 2 1 2 1 3 2 2 1 0.84
"153" 0.32 0 0 10 3 4 2 2 1 1 1 1 1 0 0.39
"154" 1.79 1 0 8 2 4 2 1 3 1 1 2 1 0 0.94
"155" 0.21 0 0 9 2 3 2 3 4 3 4 4 4 0 0.9
"156" 0.95 1 0 7 2 4 1 1 1 1 2 1 1 0 0.33
"157" 1.95 0 0 9 2 3 2 1 3 3 2 3 3 0 1.72
"158" 0.89 1 0 11 2 3 2 2 4 2 1 3 2 0 0.62
"159" 0.32 0 0 10 3 3 2 2 3 2 2 4 3 1 2.33
"160" 1.11 0 0 11 3 3 1 2 3 3 2 2 3 1 1.58
"161" 0.74 1 0 7 3 3 2 1 2 1 2 1 1 0 0.25
"162" 0.37 1 0 11 3 3 1 2 3 2 4 2 4 0 1.22
"163" 0.37 1 0 10 2 3 1 2 2 1 2 2 1 0 0.3
"164" 0.42 1 0 7 2 2 1 1 1 1 2 1 1 0 0.09
"165" 1.74 1 0 8 1 3 2 2 1 1 2 1 1 0 1.11
"166" 0.42 0 0 10 1 3 2 1 1 1 1 2 1 0 0.39
"167" 0.26 0 1 10 2 3 2 2 1 2 2 2 2 0 0.17
"168" 0.68 0 1 7 1 4 1 1 1 3 1 1 1 0 0.64
"169" 0.53 0 0 9 1 3 2 1 2 1 2 2 1 0 0.07
"170" 0.05 0 0 7 2 2 1 1 2 1 2 1 1 1 0.04
"171" 0.74 0 1 10 3 3 1 2 2 2 3 1 2 1 0.33
"172" 0.63 0 0 7 2 2 4 2 2 2 2 1 2 0 0.78
"173" 0.32 0 0 10 1 1 1 2 1 1 1 1 1 1 0.05
"174" 0.58 0 0 9 2 4 2 4 4 4 4 5 4 0 1.05
"175" 1.29 1 0 8 3 3 3 1 1 1 1 1 1 0 1.11
"176" 0.42 0 0 9 1 4 2 2 2 1 2 2 2 1 0.2
"177" 0.26 0 0 9 2 4 1 2 4 3 4 3 1 0 0.53
"178" 1.05 0 0 10 2 3 2 1 2 2 5 2 2 0 0.45
"179" 1.11 0 0 7 3 4 3 2 3 3 4 2 2 1 1.17
"180" 1 0 0 7 4 4 2 2 2 1 1 1 1 0 0.63
"181" 1.05 0 1 11 2 3 2 2 4 2 2 4 3 0 0.9
"182" 0.58 0 0 9 3 3 3 2 2 1 1 2 2 0 0.62
"183" 0.79 1 0 10 2 3 1 2 1 2 1 1 1 0 0.57
"184" 1.16 0 0 9 2 4 3 3 2 3 3 4 3 0 0.6
"185" 0.37 1 0 7 3 4 2 2 2 1 2 1 1 0 0.58
"186" 1 0 0 9 3 3 2 2 3 2 2 3 2 0 0.81
"187" 1.68 0 1 9 1 3 5 3 4 3 4 3 3 0 1.21
"188" 0.79 0 1 9 3 4 3 2 2 2 3 2 2 1 0.3
"189" 1.16 1 0 10 2 4 3 2 2 1 2 1 2 0 0.69
"190" 0.47 0 0 10 4 4 3 3 4 2 3 3 2 0 0.43
"191" 0.74 0 0 11 1 4 1 1 2 1 2 3 1 0 1.54
"192" 0.63 1 0 8 2 3 3 2 2 2 3 4 3 0 1.55
"193" 0.42 0 1 9 2 2 4 3 2 3 2 4 3 0 0.33
"194" 0.68 1 0 10 2 3 2 1 1 1 1 2 2 0 0.41
"195" 0.37 0 0 7 2 3 2 1 1 1 1 1 1 0 0.75
"196" 0.95 0 1 10 2 4 3 3 3 2 4 4 4 0 1.63
"197" 1.21 0 0 9 2 4 4 2 1 2 2 3 3 1 1.43
"198" 0.84 0 0 11 1 3 1 1 2 1 1 1 1 0 0.4
"199" 0.21 0 0 11 3 3 3 2 3 1 2 1 1 0 0.2
